Country,Month of Date,YEAR,WEEK,Cases
Puerto Rico,01/05/16,2016,18,37
Argentina,01/05/16,2016,18,2596
Paraguay,01/05/16,2016,18,649
Mexico,01/05/16,2016,18,18
Grenada,01/05/16,2016,18,103
Venezuela,01/05/16,2016,18,316
Ecuador,01/05/16,2016,18,486
Peru,01/05/16,2016,18,16
Guatemala,01/05/16,2016,18,198
El Salvador,01/05/16,2016,18,278
Honduras,01/05/16,2016,18,338
Costa Rica,01/05/16,2016,18,53
Colombia,01/05/16,2016,18,2343
Brazil,01/05/16,2016,18,28098
British Virgin Islands,01/06/16,2016,23,11
Bermuda,01/06/16,2016,23,3
Saint Vincent and the Grenadines,01/06/16,2016,23,155
Turks and Caicos Islands,01/06/16,2016,23,22
Antigua and Barbuda,01/06/16,2016,23,40
Anguilla,01/06/16,2016,23,10
Cayman Islands,01/06/16,2016,23,48
Puerto Rico,01/06/16,2016,23,19
Argentina,01/06/16,2016,23,335
Dominica,01/06/16,2016,23,271
Montserrat,01/06/16,2016,23,5
Jamaica,01/06/16,2016,23,205
Mexico,01/06/16,2016,23,25
Bolivia,01/06/16,2016,23,8890
Guatemala,01/06/16,2016,23,197
El Salvador,01/06/16,2016,23,354
Saint Lucia,01/06/16,2016,23,114
French Guyana,01/06/16,2016,23,323
Honduras,01/06/16,2016,23,2018
Costa Rica,01/06/16,2016,23,130
Brazil,01/06/16,2016,23,55580
Puerto Rico,01/07/16,2016,27,25
Argentina,01/07/16,2016,27,451
Paraguay,01/07/16,2016,27,3
Venezuela,01/07/16,2016,27,449
Bolivia,01/07/16,2016,27,4270
Guatemala,01/07/16,2016,27,699
El Salvador,01/07/16,2016,27,236
Nicaragua,01/07/16,2016,27,66
Honduras,01/07/16,2016,27,3191
Costa Rica,01/07/16,2016,27,107
Dominican Republic,01/07/16,2016,27,112
Brazil,01/07/16,2016,27,82228
Belize,01/08/16,2016,32,59
Saint Kitts and Nevis,01/08/16,2016,32,28
Puerto Rico,01/08/16,2016,32,10
Argentina,01/08/16,2016,32,97
Venezuela,01/08/16,2016,32,330
Guatemala,01/08/16,2016,32,202
El Salvador,01/08/16,2016,32,215
Honduras,01/08/16,2016,32,801
Costa Rica,01/08/16,2016,32,422
Brazil,01/08/16,2016,32,87428
Puerto Rico,01/09/16,2016,36,24
Argentina,01/09/16,2016,36,138
Guatemala,01/09/16,2016,36,1485
El Salvador,01/09/16,2016,36,177
Costa Rica,01/09/16,2016,36,552
Colombia,01/09/16,2016,36,503
Brazil,01/09/16,2016,36,128674
Puerto Rico,01/10/16,2016,40,20
Bolivia,01/10/16,2016,40,359
Peru,01/10/16,2016,40,216
Costa Rica,01/10/16,2016,40,402
Colombia,01/10/16,2016,40,202
Brazil,01/10/16,2016,40,87428
Puerto Rico,01/11/16,2016,45,14
Paraguay,01/11/16,2016,45,11
Mexico,01/11/16,2016,45,87
Bolivia,01/11/16,2016,45,256
Peru,01/11/16,2016,45,20
Guatemala,01/11/16,2016,45,705
El Salvador,01/11/16,2016,45,90
Costa Rica,01/11/16,2016,45,192
Colombia,01/11/16,2016,45,121
Brazil,01/11/16,2016,45,20185
Puerto Rico,01/12/16,2016,49,10
Paraguay,01/12/16,2016,49,7
Mexico,01/12/16,2016,49,51
Venezuela,01/12/16,2016,49,651
Peru,01/12/16,2016,49,36
Guatemala,01/12/16,2016,49,266
El Salvador,01/12/16,2016,49,121
Costa Rica,01/12/16,2016,49,146
Colombia,01/12/16,2016,49,288
Brazil,01/12/16,2016,49,27311
Venezuela,01/01/17,2017,1,11
Peru,01/01/17,2017,1,51
El Salvador,01/01/17,2017,1,26
Costa Rica,01/01/17,2017,1,27
Colombia,01/01/17,2017,1,67
Puerto Rico,01/02/17,2017,6,3
Paraguay,01/02/17,2017,6,2
Mexico,01/02/17,2017,6,6
Venezuela,01/02/17,2017,6,18
Ecuador,01/02/17,2017,6,9
Peru,01/02/17,2017,6,139
El Salvador,01/02/17,2017,6,33
Costa Rica,01/02/17,2017,6,48
Colombia,01/02/17,2017,6,138
Brazil,01/02/17,2017,6,3754
Panama,01/03/17,2017,10,317
Puerto Rico,01/03/17,2017,10,2
Mexico,01/03/17,2017,10,2
Venezuela,01/03/17,2017,10,50
Bolivia,01/03/17,2017,10,539
Ecuador,01/03/17,2017,10,20
Peru,01/03/17,2017,10,211
El Salvador,01/03/17,2017,10,106
Nicaragua,01/03/17,2017,10,8
Costa Rica,01/03/17,2017,10,51
Colombia,01/03/17,2017,10,220
Brazil,01/03/17,2017,10,2184
Panama,01/04/17,2017,14,305
Puerto Rico,01/04/17,2017,14,2
Paraguay,01/04/17,2017,14,69
Mexico,01/04/17,2017,14,2
Venezuela,01/04/17,2017,14,12
Ecuador,01/04/17,2017,14,37
Peru,01/04/17,2017,14,208
Guatemala,01/04/17,2017,14,40
El Salvador,01/04/17,2017,14,45
Nicaragua,01/04/17,2017,14,309
Costa Rica,01/04/17,2017,14,20
Colombia,01/04/17,2017,14,80
Brazil,01/04/17,2017,14,16560
Saint Barthelemy,01/05/17,2017,19,2
Martinique,01/05/17,2017,19,9
Saint Martin,01/05/17,2017,19,2
Panama,01/05/17,2017,19,407
Puerto Rico,01/05/17,2017,19,1
Paraguay,01/05/17,2017,19,2
Mexico,01/05/17,2017,19,5
Venezuela,01/05/17,2017,19,18
Bolivia,01/05/17,2017,19,750
Ecuador,01/05/17,2017,19,19
Peru,01/05/17,2017,19,439
El Salvador,01/05/17,2017,19,39
